gender,height,weight,age
female,171.2,75.2,29
female,169.5,74.3,50
male,189.4,83.2,42
male,187.6,89.8,41
female,165.4,85.3,36
male,201.8,87.4,36
female,176.7,71.5,46
female,176.2,68.9,29
male,191.1,80.5,45
male,182.2,73.8,38
female,155.0,68.1,26
female,160.8,69.9,34
male,205.2,106.4,35
male,192.8,101.3,20
female,160.8,52.0,52
male,181.3,77.6,42
male,207.0,95.6,56
male,207.5,99.7,41
female,154.3,68.7,34
male,185.3,84.7,23
female,160.0,66.3,33
male,186.8,84.2,56
male,192.4,82.9,18
female,158.3,76.2,30
female,163.0,61.5,24
female,168.4,63.5,26
male,196.4,67.7,27
male,181.3,83.8,51
male,207.2,71.0,44
male,190.2,87.5,37
female,160.9,67.8,48
male,192.6,86.7,26
male,182.8,89.4,32
female,171.2,68.3,53
male,187.4,91.0,55
female,166.7,60.1,21
female,169.5,67.0,28
female,154.2,72.8,26
female,162.8,68.9,18
female,167.9,68.3,58
female,156.1,94.2,43
male,193.1,112.0,22
male,191.1,73.5,48
male,182.4,80.2,32
female,169.0,55.2,49
female,167.5,70.2,25
female,177.1,77.6,18
female,156.7,61.0,26
female,161.5,76.1,49
female,176.3,63.5,46
female,172.3,67.2,24
male,190.2,86.0,20
male,193.4,89.2,44
male,187.7,97.2,23
male,183.1,89.2,32
male,186.2,83.9,47
female,158.4,64.6,55
male,194.2,88.5,50
female,161.0,71.1,23
female,162.8,67.2,59
male,200.7,89.3,45
female,163.8,69.0,51
male,196.7,61.5,39
male,201.7,79.4,23
male,180.2,105.4,40
male,194.6,81.0,29
male,193.4,88.9,57
male,185.5,88.6,39
female,173.3,58.7,36
male,177.3,74.5,23
female,174.4,61.9,44
male,188.9,91.5,20
male,181.7,99.9,31
male,193.4,90.1,50
female,165.3,69.6,21
male,194.8,70.2,23
female,170.7,78.2,39
female,165.1,82.9,43
female,165.7,79.9,43
male,193.2,84.4,47
male,184.4,96.2,35
female,162.7,70.5,52
male,184.6,93.2,55
male,194.8,79.5,54
male,202.6,67.1,36
male,198.0,78.7,46
female,169.4,64.5,55
female,152.3,73.9,51
female,165.4,65.2,24
male,177.2,81.6,49
female,168.0,55.5,20
male,196.8,86.9,27
male,183.4,87.1,30
male,199.8,88.6,19
male,189.7,68.3,35
female,172.5,59.9,47
female,157.5,78.2,59
male,198.9,87.7,25
female,170.7,64.8,41
male,188.3,100.2,29
male,180.7,82.5,28
female,174.0,66.7,20
female,156.3,72.7,53
male,191.0,100.8,34
male,175.5,84.8,34
male,196.8,80.8,57
female,156.8,67.9,24
female,167.9,80.6,41
female,166.1,66.1,41
male,193.5,75.2,21
female,167.6,65.4,45
male,192.0,114.3,33
male,187.8,85.2,48
male,198.2,83.3,25
female,159.6,77.6,45
male,191.7,89.2,29
male,180.9,76.6,25
female,166.9,59.4,42
female,164.5,72.6,31
male,187.8,72.3,51
female,150.5,63.2,22
female,166.4,64.4,34
female,172.4,49.8,39
female,165.8,60.4,42
male,188.0,98.6,39
male,189.6,94.6,21
male,184.9,69.0,28
female,161.4,77.3,47
female,161.4,68.5,47
male,192.0,86.3,29
female,163.1,53.3,18
male,199.2,93.3,41
female,166.7,55.4,48
female,169.4,66.5,30
male,201.9,103.5,58
female,169.4,54.9,30
female,156.1,69.3,44
male,185.0,101.6,28
female,162.2,69.1,30
female,170.3,86.3,46
female,168.7,86.1,25
male,195.4,88.0,51
female,155.6,71.6,28
female,163.8,79.6,53
male,191.3,75.4,20
male,195.8,81.4,59
female,162.3,60.5,35
male,190.3,81.1,35
male,192.7,74.9,33
male,179.7,101.0,28
male,180.0,94.4,40
female,158.1,72.8,37
female,168.1,63.9,57
male,191.5,77.5,43
female,167.4,65.7,26
male,180.6,81.2,22
female,169.7,76.2,56
female,159.9,78.1,53
female,165.8,78.3,53
female,173.0,73.0,25
female,161.5,57.3,58
male,195.9,86.7,55
female,153.7,61.8,48
male,197.2,94.9,24
male,203.3,83.5,34
female,162.7,63.3,48
male,194.8,84.9,32
female,163.0,64.3,26
male,176.4,88.8,33
female,168.0,63.6,24
female,163.1,67.8,22
female,158.5,76.9,20
male,203.4,79.2,47
male,203.3,75.5,30
female,169.1,75.5,25
male,186.1,85.8,30
male,197.4,84.8,36
female,170.0,78.0,22
female,157.8,74.7,52
female,160.1,65.9,29
male,180.1,86.4,49
female,159.2,63.9,47
male,188.0,91.5,30
female,160.5,68.0,49
male,180.6,86.2,53
female,159.0,72.1,24
female,169.1,62.4,37
female,170.2,66.7,56
female,163.9,73.2,30
female,163.2,73.2,47
male,203.3,85.3,26
male,195.0,79.1,52
female,162.0,63.7,21
female,158.1,66.8,52
male,181.2,77.5,37
female,158.8,70.6,46
female,170.2,66.4,33
female,165.3,75.2,22
female,168.2,61.9,59
female,180.3,59.7,18
female,172.0,61.1,19
male,188.0,91.0,30
male,188.4,76.5,30
female,168.0,72.0,24
female,159.0,76.1,41
female,179.2,60.4,51
female,173.0,66.1,52
male,198.4,93.8,36
female,161.2,65.5,31
male,194.7,73.8,21
female,160.4,77.1,40
male,194.2,80.9,32
female,166.4,73.3,45
male,180.2,72.0,21
female,166.1,51.7,57
male,188.2,95.9,53
male,195.5,82.5,54
male,188.0,71.4,56
female,156.8,71.6,60
male,182.7,79.5,60
male,195.9,99.5,23
male,185.0,91.1,34
female,155.1,67.5,47
male,192.4,78.4,24
male,196.4,63.8,37
male,202.8,86.2,42
male,194.1,96.2,44
female,164.4,67.1,38
female,159.0,61.0,53
male,194.3,87.9,59
male,196.4,85.8,54
male,185.6,94.1,29
male,174.9,81.8,38
male,182.5,84.9,32
female,158.8,68.5,27
female,162.5,81.7,55
male,188.2,95.7,31
female,163.9,77.1,41
male,190.1,81.2,57
male,186.9,76.8,44
male,188.7,89.4,31
female,160.8,68.8,41
male,197.0,79.1,33
male,192.5,73.2,46
male,186.6,85.2,38
male,190.3,73.4,22
female,162.5,77.4,56
male,196.2,78.2,20
male,170.0,66.6,43
female,169.5,61.9,39
female,166.7,73.5,41
male,183.0,95.0,39
female,172.4,66.3,18
male,187.0,73.7,20
female,161.1,72.7,43
male,198.2,86.1,45
male,188.5,74.8,43
male,184.2,72.9,35
female,171.3,69.7,57
female,168.8,63.4,36
female,168.0,82.2,57
female,159.6,75.5,48
female,149.0,82.7,34
male,191.0,70.7,30
female,170.2,71.3,21
male,185.6,80.5,28
male,191.3,85.8,35
male,194.7,76.4,54
female,153.5,73.9,52
female,168.2,73.9,52
female,167.3,78.6,55
female,163.8,68.0,31
male,187.3,97.3,53
female,159.2,74.2,54
male,196.3,100.8,29
female,169.8,84.4,25
male,185.2,78.4,25
female,166.5,67.6,33
male,176.2,87.5,18
female,171.0,72.7,45
male,188.6,89.7,20
male,177.1,74.6,52
female,160.6,79.7,39
male,192.2,99.2,20
male,192.8,65.5,25
male,200.3,99.2,23
female,159.3,57.7,30
female,160.1,60.0,26
male,177.5,88.2,38
male,178.9,92.5,29
male,185.6,82.1,33
female,176.3,61.7,48
female,166.0,70.5,42
male,192.6,89.6,50
male,192.3,77.1,53
female,179.0,80.1,37
female,164.0,72.5,40
male,186.0,63.2,25
male,188.5,85.0,51
female,153.0,81.1,18
male,195.0,98.1,39
male,184.4,86.4,58
male,197.3,98.4,55
male,202.6,77.4,55
female,160.2,72.9,37
male,191.4,96.8,54
female,171.3,83.6,18
female,160.3,73.0,42
male,182.4,78.0,57
female,169.7,65.3,30
female,163.2,83.8,55
female,162.7,73.5,60
female,167.6,77.1,38
male,181.8,112.8,20
male,188.9,86.5,30
male,197.6,86.5,24
female,172.7,64.2,20
female,177.6,80.0,44
female,165.6,74.4,47
female,172.4,69.2,20
female,161.7,81.7,18
male,189.9,84.0,53
male,186.6,81.4,47
male,181.3,98.8,30
female,169.9,76.1,43
male,185.1,92.5,30
female,156.8,71.4,26
female,165.9,63.0,60
male,192.2,92.0,18
female,168.9,78.0,33
male,197.8,79.4,34
female,159.9,62.9,21
male,194.2,94.5,34
female,160.3,72.2,57
male,183.5,90.7,41
male,197.7,79.7,19
male,188.8,79.9,27
female,167.8,70.9,40
female,158.1,79.9,46
female,155.1,75.2,36
male,189.6,75.7,38
female,171.1,74.9,22
female,165.6,80.0,49
male,188.7,88.9,27
male,197.9,77.8,55
female,172.7,75.4,31
male,186.4,91.9,49
male,178.4,92.1,58
female,169.8,70.6,35
female,162.8,68.9,33
female,168.2,75.3,60
male,196.0,86.7,27
male,182.4,82.2,57
male,185.9,57.5,40
female,161.6,72.4,47
female,164.2,73.9,47
female,161.6,87.0,33
female,152.7,67.1,52
male,182.3,88.6,43
male,180.2,75.2,51
male,185.0,95.7,45
male,185.6,83.2,24
male,198.3,86.4,22
male,183.7,94.7,45
female,173.7,61.3,22
male,201.6,94.9,41
female,158.1,75.8,51
male,190.7,70.6,43
female,159.5,73.6,56
male,188.0,65.9,59
female,159.5,63.4,24
female,164.0,71.6,60
female,167.5,68.6,53
male,188.4,72.3,54
male,202.6,86.4,40
female,167.7,56.5,23
male,192.6,84.3,50
female,157.3,79.7,50
female,174.5,62.2,30
female,172.7,77.2,54
female,166.4,67.3,22
female,162.7,83.0,24
female,156.5,86.7,58
male,190.6,73.7,36
female,172.6,78.2,47
female,171.0,76.0,30
male,193.4,81.2,39
male,178.8,73.1,43
male,189.1,86.3,40
male,184.0,85.8,20
female,158.7,63.1,58
male,182.8,58.0,18
female,160.2,63.0,49
male,194.6,78.5,30
female,172.7,68.1,43
male,189.1,104.6,19
male,189.5,93.3,51
female,163.4,63.3,48
female,164.6,76.3,28
male,183.1,88.3,56
female,153.1,64.5,43
male,187.7,94.6,25
female,177.4,71.2,35
male,204.6,87.1,44
male,192.3,66.9,34
male,189.8,97.7,58
male,189.9,84.1,49
female,156.5,74.5,44
female,166.5,74.1,20
male,193.6,92.0,18
female,175.0,67.3,24
female,162.5,65.6,23
female,165.5,74.0,50
female,174.2,72.1,47
female,173.5,83.4,28
female,158.3,73.1,44
female,164.5,53.5,21
male,187.4,73.5,19
female,174.1,80.2,60
male,194.8,85.8,44
male,180.3,88.6,42
male,181.0,79.2,26
male,189.8,79.2,27
male,190.0,93.0,46
female,170.0,77.0,18
female,161.3,66.2,57
female,179.7,50.9,41
female,169.3,47.6,37
male,202.3,85.2,36
female,158.9,65.7,48
male,184.2,81.2,36
male,177.4,74.6,19
female,165.3,63.8,35
male,189.8,85.7,53
male,191.6,82.2,21
female,158.0,63.4,36
male,196.5,78.2,56
female,170.4,76.4,27
male,188.5,82.3,43
male,198.4,85.8,31
male,189.5,67.5,23
female,158.0,67.2,50
female,163.0,77.1,21
male,178.1,83.1,23
female,158.2,73.2,31
male,175.9,73.5,30
male,183.9,93.6,58
male,196.8,97.1,33
male,193.3,80.4,27
male,184.4,97.4,59
female,168.2,87.0,48
female,162.0,74.5,21
female,167.4,63.3,23
male,188.7,67.2,41
male,194.4,87.2,38
female,157.8,64.4,37
male,180.8,85.3,36
male,181.6,75.8,51
male,205.0,98.7,21
female,166.8,74.7,22
male,184.0,89.7,26
female,166.5,70.9,20
female,162.6,64.9,56
female,157.8,62.7,28
female,161.9,87.5,35
female,171.4,74.7,50
male,196.9,70.2,51
male,197.5,87.4,40
female,163.5,71.7,18
male,194.1,96.6,58
female,149.9,50.4,44
female,167.9,85.8,54
female,165.4,72.0,51
male,191.6,88.7,55
female,163.9,77.9,50
male,181.8,74.2,53
male,186.0,84.9,24
female,161.2,63.0,47
male,195.1,97.9,22
female,167.6,53.8,33
female,168.2,71.1,44
female,162.4,79.9,52
male,190.4,84.6,60
male,187.6,80.4,36
female,158.5,68.4,50
female,164.2,70.0,41
male,190.5,86.3,20
male,179.3,75.1,42
female,165.7,79.3,38
female,163.3,72.8,48
male,195.9,84.4,34
female,160.7,61.3,21
female,164.6,66.6,29
male,189.4,102.6,41
female,166.2,66.8,59
female,178.3,71.3,32
female,162.9,71.0,56
female,173.6,70.0,57
male,180.6,59.9,42
male,187.1,95.2,35
male,187.8,89.5,35
female,155.8,73.2,51
female,165.5,75.9,28
male,191.5,74.9,42
female,158.3,74.7,30
female,170.3,70.4,37
male,185.7,85.9,29
male,183.8,82.0,45
female,153.4,60.9,50
male,196.2,96.8,20
male,188.0,91.0,54
female,156.7,68.8,56
male,194.6,66.0,39
male,199.0,91.2,23
male,193.1,83.8,49
male,197.4,84.7,31
male,179.1,95.1,52
female,171.4,73.3,20
female,165.0,60.2,59
male,191.3,96.7,18
male,182.6,83.6,37
male,178.3,83.3,57
female,169.2,59.3,48
female,156.4,79.0,43
female,164.2,66.2,23
male,194.2,83.4,24
female,167.6,78.5,50
female,172.0,71.7,49
female,166.2,67.1,40
male,191.0,86.7,60
female,175.3,73.5,38
male,204.1,78.4,53
male,191.8,100.0,51
female,166.4,64.2,38
male,180.0,69.0,34
male,195.7,90.0,53
female,177.2,77.0,19
male,187.7,61.3,28
male,189.0,88.8,34
female,163.0,64.9,48
female,165.3,79.0,24
female,167.6,63.3,59
female,174.9,55.8,52
male,195.1,75.2,32
male,182.0,96.9,48
male,177.6,79.4,39
male,193.2,74.4,19
female,168.5,55.5,23
female,170.7,67.3,32
female,175.5,63.8,52
male,181.2,83.9,53
male,186.1,88.4,42
male,179.3,81.8,34
male,195.6,78.2,25
female,155.5,81.9,58
male,182.7,111.1,28
male,185.7,74.5,32
female,159.6,78.7,27
male,180.0,101.1,50
female,154.2,72.1,24
male,183.7,70.4,27
female,170.8,85.2,21
female,164.3,77.0,33
male,192.3,81.6,34
female,175.2,60.1,57
male,188.5,75.3,27
female,169.3,64.2,28
male,191.5,83.0,57
male,189.9,72.0,54
male,189.3,78.7,55
male,190.6,87.7,51
female,159.5,81.9,28
male,181.9,83.1,60
female,156.7,59.6,27
female,163.2,66.8,45
female,159.8,68.9,18
male,186.3,95.0,24
male,195.8,84.4,32
female,163.9,69.9,33
male,186.7,93.1,18
female,163.0,67.5,26
female,168.6,70.3,56
male,206.8,93.2,28
female,158.7,64.1,31
male,188.4,77.6,23
female,151.1,77.9,22
female,163.5,75.5,33
female,165.6,60.5,49
male,179.2,103.1,27
female,161.9,70.6,38
male,186.2,72.1,41
female,159.7,73.9,42
female,170.1,70.2,18
male,204.5,87.1,34
female,168.4,82.6,26
female,156.9,68.8,58
male,191.5,77.8,19
male,184.7,93.4,56
female,159.5,61.0,40
female,158.8,73.5,29
female,173.0,59.2,48
male,184.3,85.2,34
male,197.7,88.7,58
female,149.3,62.3,19
male,184.6,87.9,34
female,162.8,67.6,34
female,164.0,77.7,60
female,165.3,60.1,34
female,180.1,48.2,57
female,164.5,70.3,56
female,162.1,73.4,22
female,161.4,62.6,19
female,158.9,78.8,44
female,165.1,73.6,43
female,176.1,58.0,27
female,159.3,62.0,29
male,191.7,75.8,41
female,160.0,85.1,24
male,199.0,78.7,33
female,170.5,74.1,27
female,172.5,72.2,43
male,181.7,97.0,44
male,193.1,104.8,50
male,190.0,94.4,51
male,185.4,78.3,57
female,157.4,74.9,30
female,163.2,74.4,29
male,192.9,95.2,32
male,176.8,78.6,47
female,156.7,93.3,18
female,170.4,70.1,35
male,185.9,98.3,44
male,204.4,85.3,41
female,166.5,65.8,34
male,187.7,69.4,30
male,182.9,76.5,31
female,175.6,83.2,60
female,151.4,70.6,18
female,164.5,60.8,28
female,169.9,77.4,28
male,188.8,77.9,54
female,165.1,53.6,49
female,159.3,71.1,19
female,170.2,77.8,59
male,190.2,70.3,29
male,183.5,98.9,31
female,149.3,70.9,25
female,165.5,71.7,22
male,190.8,78.2,50
female,161.0,74.1,23
male,198.2,69.8,27
female,157.7,71.3,27
male,190.7,95.8,18
male,179.8,80.8,58
male,192.0,78.9,35
male,180.3,101.0,18
male,185.9,84.9,39
male,187.2,75.7,51
female,166.8,74.0,58
male,189.6,81.7,35
male,196.5,72.4,26
male,185.2,84.9,28
male,194.5,76.9,36
female,159.0,71.0,48
male,194.4,105.7,53
female,173.5,73.1,44
female,156.7,79.9,46
male,188.0,71.6,53
male,181.3,76.6,38
male,192.5,90.6,38
male,180.9,90.6,33
male,207.9,75.2,56
female,157.7,66.8,51
female,160.9,84.9,58
male,183.3,87.8,59
female,156.6,71.1,30
male,192.9,81.5,32
male,187.5,88.4,36
female,166.8,58.8,54
male,191.6,97.8,48
male,183.6,87.6,55
female,163.9,64.6,53
male,191.3,70.0,19
female,168.6,60.2,34
female,164.6,63.6,51
female,158.9,71.5,42
female,159.6,69.5,60
female,165.6,76.7,55
female,170.8,54.4,28
female,172.9,76.4,56
female,168.6,63.9,32
female,168.6,81.6,23
female,165.4,76.3,30
female,164.3,73.7,21
female,177.0,63.4,25
male,193.9,91.1,35
female,173.1,75.8,44
female,155.8,60.9,45
male,206.4,67.9,37
male,183.3,80.2,40
female,168.0,75.2,43
male,188.9,72.8,24
male,183.0,97.6,27
female,157.2,69.1,27
male,184.4,66.2,24
female,160.5,66.4,32
female,173.6,61.5,32
female,154.5,61.7,29
male,170.8,86.4,58
male,178.2,101.0,23
female,156.9,75.6,24
male,180.0,92.5,56
male,188.7,90.2,53
female,168.3,65.8,43
female,163.4,75.8,37
male,196.2,89.4,54
female,157.9,79.3,51
